"","LEAB","ExpYEd","GNICapita","MatMortRatio","ABR","ParlRep","edu2F","LabourF"
"Norway",81.6,17.5,64992,4,7.8,39.6,97.4,61.2
"Australia",82.4,20.2,42261,6,12.1,30.5,94.3,58.8
"Switzerland",83,15.8,56431,6,1.9,28.5,95,61.8
"Denmark",80.2,18.7,44025,5,5.1,38,95.5,58.7
"Netherlands",81.6,17.9,45435,6,6.2,36.9,87.7,58.5
"Germany",80.9,16.5,43919,7,3.8,36.9,96.3,53.6
"Ireland",80.9,18.6,39568,9,8.2,19.9,80.5,53.1
"United States",79.1,16.5,52947,28,31,19.4,95.1,56.3
"Canada",82,15.9,42155,11,14.5,28.2,100,61.6
"New Zealand",81.8,19.2,32689,8,25.3,31.4,95,62
"Singapore",83,15.4,76628,6,6,25.3,74.1,58.8
"Sweden",82.2,15.8,45636,4,6.5,43.6,86.5,60.3
"United Kingdom",80.7,16.2,39267,8,25.8,23.5,99.8,55.7
"Iceland",82.6,19,35182,4,11.5,41.3,91,70.5
"Korea (Republic of)",81.9,16.9,33890,27,2.2,16.3,77,50.1
"Israel",82.4,16,30676,2,7.8,22.5,84.4,57.9
"Luxembourg",81.7,13.9,58711,11,8.3,28.3,100,50.7
"Japan",83.5,15.3,36927,6,5.4,11.6,87,48.8
"Belgium",80.8,16.3,41187,6,6.7,42.4,77.5,47.5
"France",82.2,16,38056,12,5.7,25.7,78,50.7
"Austria",81.4,15.7,43869,4,4.1,30.3,100,54.6
"Finland",80.8,17.1,38695,4,9.2,42.5,100,55.7
"Slovenia",80.4,16.8,27852,7,0.6,27.7,95.8,52.3
"Spain",82.6,17.3,32045,4,10.6,38,66.8,52.5
"Italy",83.1,16,33030,4,4,30.1,71.2,39.6
"Czech Republic",78.6,16.4,26660,5,4.9,18.9,99.9,51.1
"Greece",80.9,17.6,24524,5,11.9,21,59.5,44.2
"Estonia",76.8,16.5,25214,11,16.8,19.8,100,56.2
"Cyprus",80.2,14,28633,10,5.5,12.5,76,56
"Qatar",78.2,13.8,123124,6,9.5,0,66.7,50.8
"Slovakia",76.3,15.1,25845,7,15.9,18.7,99.1,51.1
"Poland",77.4,15.5,23177,3,12.2,22.1,79.4,48.9
"Lithuania",73.3,16.4,24500,11,10.6,23.4,89.1,55.8
"Malta",80.6,14.4,27930,9,18.2,13,68.6,37.9
"Saudi Arabia",74.3,16.3,52821,16,10.2,19.9,60.5,20.2
"Argentina",76.3,17.9,22050,69,54.4,36.8,56.3,47.5
"United Arab Emirates",77,13.3,60868,8,27.6,17.5,73.1,46.5
"Chile",81.7,15.2,21290,22,55.3,15.8,73.3,49.2
"Portugal",80.9,16.3,25757,8,12.6,31.3,47.7,54.9
"Hungary",75.2,15.4,22916,14,12.1,10.1,97.9,44.8
"Bahrain",76.6,14.4,38599,22,13.8,15,56.7,39.2
"Latvia",74.2,15.2,22281,13,13.5,18,98.9,54.9
"Croatia",77.3,14.8,19409,13,12.7,25.8,85,44.7
"Kuwait",74.4,14.7,83961,14,14.5,1.5,55.6,43.6
"Montenegro",76.2,15.2,14558,7,15.2,17.3,84.2,43
"Belarus",71.3,15.7,16676,1,20.6,30.1,87,50.1
"Russian Federation",70.1,14.7,22352,24,25.7,14.5,89.6,57.1
"Oman",76.8,13.6,34858,11,10.6,9.6,47.2,29
"Romania",74.7,14.2,18108,33,31,12,86.1,48.7
"Uruguay",77.2,15.5,19283,14,58.3,11.5,54.4,55.6
"Bahamas",75.4,12.6,21336,37,28.5,16.7,91.2,69.3
"Kazakhstan",69.4,15,20867,26,29.9,20.1,95.3,67.7
"Barbados",75.6,15.4,12488,52,48.4,19.6,89.5,65.9
"Bulgaria",74.2,14.4,15596,5,35.9,20.4,93,47.9
"Panama",77.6,13.3,18192,85,78.5,19.3,54,49
"Malaysia",74.7,12.7,22762,29,5.7,14.2,65.1,44.4
"Mauritius",74.4,15.6,17470,73,30.9,11.6,49.4,43.6
"Trinidad and Tobago",70.4,12.3,26090,84,34.8,24.7,59.7,53
"Serbia",74.9,14.4,12190,16,16.9,34,58.4,44.5
"Cuba",79.4,13.8,7301,80,43.1,48.9,74.3,43.4
"Lebanon",79.3,13.8,16509,16,12,3.1,53,23.3
"Costa Rica",79.4,13.9,13413,38,60.8,33.3,50.7,46.6
"Iran (Islamic Republic of)",75.4,15.1,15440,23,31.6,3.1,62.2,16.6
"Venezuela (Bolivarian Republic of)",74.2,14.2,16159,110,83.2,17,56.6,51.1
"Turkey",75.3,14.5,18677,20,30.9,14.4,39,29.4
"Sri Lanka",74.9,13.7,9779,29,16.9,5.8,72.7,35.1
"Mexico",76.8,13.1,16056,49,63.4,37.1,55.7,45.1
"Brazil",74.5,15.2,15175,69,70.8,9.6,54.6,59.4
"Georgia",74.9,13.8,7164,41,46.8,11.3,89.7,56.5
"Azerbaijan",70.8,11.9,16428,26,40,15.6,93.7,62.9
"Jordan",74,13.5,11365,50,26.5,11.6,69.5,15.6
"The former Yugoslav Republic of Macedonia",75.4,13.4,11780,7,18.3,33.3,40.2,43.1
"Ukraine",71,15.1,8178,23,25.7,11.8,91.7,53.2
"Algeria",74.8,14,13054,89,10,25.7,26.7,15.2
"Peru",74.6,13.1,11015,89,50.7,22.3,56.3,68.2
"Albania",77.8,11.8,9943,21,15.3,20.7,81.8,44.9
"Armenia",74.7,12.3,8124,29,27.1,10.7,94,54.2
"Bosnia and Herzegovina",76.5,13.6,9638,8,15.1,19.3,44.9,34.1
"Ecuador",75.9,14.2,10605,87,77,41.6,40.1,54.7
"China",75.8,13.1,12547,32,8.6,23.6,58.7,63.9
"Fiji",70,15.7,7493,59,42.8,14,64.2,37.5
"Mongolia",69.4,14.6,10729,68,18.7,14.9,85.3,56.6
"Thailand",74.4,13.5,13323,26,41,6.1,35.7,64.3
"Libya",71.6,14,14911,15,2.5,16,55.5,30
"Tunisia",74.8,14.6,10404,46,4.6,31.3,32.8,25.1
"Colombia",74,13.5,12040,83,68.5,20.9,56.9,55.8
"Jamaica",75.7,12.4,7415,80,70.1,16.7,74,56.1
"Tonga",72.8,14.7,5069,120,18.1,0,87.5,53.5
"Belize",70,13.6,7614,45,71.4,13.3,76.4,49.2
"Dominican Republic",73.5,13.1,11883,100,99.6,19.1,55.6,51.3
"Suriname",71.1,12.7,15617,130,35.2,11.8,44.6,40.5
"Maldives",76.8,13,12328,31,4.2,5.9,27.3,56.2
"Samoa",73.4,12.9,5327,58,28.3,6.1,64.3,23.5
"Botswana",64.5,12.5,16646,170,44.2,9.5,73.6,71.9
"Moldova (Republic of)",71.6,11.9,5223,21,29.3,20.8,93.6,37.6
"Egypt",71.1,13.5,10512,45,43,2.2,43.9,23.7
"Gabon",64.4,12.5,16367,240,103,16.2,53.9,56.2
"Indonesia",68.9,13,9788,190,48.3,17.1,39.9,51.4
"Paraguay",72.9,11.9,7643,110,67,16.8,36.8,55.7
"Philippines",68.2,11.3,7915,120,46.8,27.1,65.9,51.1
"El Salvador",73,12.3,7349,69,76,27.4,36.8,47.8
"South Africa",57.4,13.6,12122,140,50.9,40.7,72.7,44.5
"Viet Nam",75.8,11.9,5092,49,29,24.3,59.4,73
"Bolivia (Plurinational State of)",68.3,13.2,5760,200,71.9,51.8,47.6,64.2
"Kyrgyzstan",70.6,12.5,3044,75,29.3,23.3,94.5,56
"Iraq",69.4,10.1,14003,67,68.7,26.5,27.8,14.9
"Guyana",66.4,10.3,6522,250,88.5,31.3,60.3,42.6
"Nicaragua",74.9,11.5,4457,100,100.8,39.1,39.4,47.4
"Morocco",74,11.6,6850,120,35.8,11,20.7,26.5
"Namibia",64.8,11.3,9418,130,54.9,37.7,33.3,54.7
"Guatemala",71.8,10.7,6929,140,97.2,13.3,21.9,49.3
"Tajikistan",69.4,11.2,2517,44,42.8,15.2,95.1,58.9
"India",68,11.7,5497,190,32.8,12.2,27,27
"Honduras",73.1,11.1,3938,120,84,25.8,28,42.8
"Bhutan",69.5,12.6,7176,120,40.9,8.3,34,66.7
"Syrian Arab Republic",69.6,12.3,2728,49,41.6,12.4,29.5,13.5
"Congo",62.3,11.1,6012,410,126.7,11.5,39.7,68.5
"Zambia",60.1,13.5,3734,280,125.4,12.7,25.8,73.1
"Ghana",61.4,11.5,3852,380,58.4,10.9,45.2,67.3
"Bangladesh",71.6,10,3191,170,80.6,20,34.1,57.4
"Cambodia",68.4,10.9,2949,170,44.3,19,9.9,78.8
"Kenya",61.6,11,2762,400,93.6,20.8,25.3,62.2
"Nepal",69.6,12.4,2311,190,73.7,29.5,17.7,79.9
"Pakistan",66.2,7.8,4866,170,27.3,19.7,19.3,24.6
"Myanmar",65.9,8.6,4608,200,12.1,4.7,22.9,75.2
"Swaziland",49,11.3,5542,310,72,14.7,21.9,43.9
"Tanzania (United Republic of)",65,9.2,2411,410,122.7,36,5.6,88.1
"Cameroon",55.5,10.4,2803,590,115.8,27.1,21.3,63.8
"Zimbabwe",57.5,10.9,1615,470,60.3,35.1,48.7,83.2
"Mauritania",63.1,8.5,3560,320,73.3,22.2,8.3,28.7
"Papua New Guinea",62.6,9.9,2463,220,62.1,2.7,7.6,70.5
"Yemen",63.8,9.2,3519,270,47,0.7,8.6,25.4
"Lesotho",49.8,11.1,3306,490,89.4,26.8,21.9,59
"Togo",59.7,12.2,1228,450,91.5,17.6,16.1,80.6
"Haiti",62.8,8.7,1669,380,42,3.5,22.4,60.9
"Rwanda",64.2,10.3,1458,320,33.6,57.5,8,86.4
"Uganda",58.5,9.8,1613,360,126.6,35,22.9,75.8
"Benin",59.6,11.1,1767,340,90.2,8.4,11.3,67.6
"Sudan",63.5,7,3809,360,84,23.8,12.1,31.3
"Senegal",66.5,7.9,2188,320,94.4,42.7,7.2,66
"Afghanistan",60.4,9.3,1885,400,86.8,27.6,5.9,15.8
"C̫te d'Ivoire",51.5,8.9,3171,720,130.3,9.2,14,52.4
"Malawi",62.8,10.8,747,510,144.8,16.7,11.1,84.6
"Ethiopia",64.1,8.5,1428,420,78.4,25.5,7.8,78.2
"Gambia",60.2,8.8,1507,430,115.8,9.4,17.4,72.2
"Congo (Democratic Republic of the)",58.7,9.8,680,730,135.3,8.2,12.8,70.7
"Liberia",60.9,9.5,805,640,117.4,10.7,15.4,58.2
"Mali",58,8.4,1583,550,175.6,9.5,7.7,50.8
"Mozambique",55.1,9.3,1123,480,137.8,39.6,1.4,85.5
"Sierra Leone",50.9,8.6,1780,1100,100.7,12.4,10,65.7
"Burkina Faso",58.7,7.8,1591,400,115.4,13.3,0.9,77.1
"Burundi",56.7,10.1,758,740,30.3,34.9,5.3,83.3
"Chad",51.6,7.4,2085,980,152,14.9,1.7,64
"Central African Republic",50.7,7.2,581,880,98.3,12.5,10.1,72.6
"Niger",61.4,5.4,908,630,204.8,13.3,2.4,40
